Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
511,Buck Shaw,12,1946-1960,150,90,55,5,.621,35,2,3,2,1,.667,2.5,1,1,0,0
512,Willie Shaw,5,1995-2002,0,0,0,0,,0,0,0,0,0,,2.6,2,0,0,0
513,Terry Shea,1,2004,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
514,Art Shell+,7,1989-2006,108,56,52,0,.519,4,3,5,2,3,.400,2.7,1,0,0,0
515,Clarence Shelmon,5,2007-2011,0,0,0,0,,0,0,0,0,0,,1.2,1,0,0,0
516,Mike Sheppard,4,1997-2005,0,0,0,0,,0,0,0,0,0,,4.5,4,0,0,0
517,Bill Sheridan,1,2009,0,0,0,0,,0,0,0,0,0,,3.0,3,0,0,0
518,Allie Sherman,8,1961-1968,112,57,51,4,.528,6,3,3,0,3,.000,3.0,1,0,0,0
519,Mike Sherman,8,1999-2007,96,57,39,0,.594,18,4,6,2,4,.333,2.1,1,0,0,0
520,Ray Sherman,4,1990-1999,0,0,0,0,,0,0,0,0,0,,3.3,2,0,0,0
521,Ted Shipkey,1,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
522,Ken Shipp,2,1975-1977,5,1,4,0,.200,-3,0,0,0,0,,3.0,2,0,0,0
523,Doug Shivley,5,1985-1993,0,0,0,0,,0,0,0,0,0,,3.2,2,0,0,0
524,Jim Shofner,7,1981-1990,7,1,6,0,.143,-5,0,0,0,0,,3.6,2,0,0,0
525,John Shoop,4,2001-2006,0,0,0,0,,0,0,0,0,0,,2.8,1,0,0,0
526,Dave Shula,2,1989-1990,0,0,0,0,,0,0,0,0,0,,4.5,4,0,0,0
527,David Shula,5,1992-1996,71,19,52,0,.268,-33,0,0,0,0,,3.2,2,0,0,0
528,Don Shula+,33,1963-1995,490,328,156,6,.678,172,19,36,19,17,.528,1.6,1,2,2,6
529,Mike Shula,4,1996-1999,0,0,0,0,,0,0,0,0,0,,2.5,1,0,0,0
530,Fritz Shurmur,19,1979-1998,0,0,0,0,,0,0,0,0,0,,2.4,1,0,0,0
531,Pat Shurmur,3,2009-2011,16,4,12,0,.250,-8,0,0,0,0,,3.0,1,0,0,0
532,Steve Sidwell,17,1986-2002,0,0,0,0,,0,0,0,0,0,,2.4,1,0,0,0
533,Herb Sies,1,1923,8,2,3,3,.400,-1,0,0,0,0,,12.0,12,0,0,0
534,Mike Singletary+,3,2008-2010,40,18,22,0,.450,-4,0,0,0,0,,2.3,2,0,0,0
535,Jim Skipper,3,1997-1999,0,0,0,0,,0,0,0,0,0,,2.3,1,0,0,0
536,Nick Skorich,7,1961-1974,98,45,48,5,.484,-3,2,2,0,2,.000,3.7,1,0,0,0
537,Bob Slowik,10,1993-2008,0,0,0,0,,0,0,0,0,0,,3.2,1,0,0,0
538,Clipper Smith,2,1947-1948,24,7,16,1,.304,-9,0,0,0,0,,4.0,3,0,0,0
539,Homer Smith,1,1987,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
540,Jerry Smith,1,1971,5,2,3,0,.400,-1,0,0,0,0,,4.0,4,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
541,Lovie Smith,11,2001-2011,128,71,57,0,.555,14,3,6,3,3,.500,2.0,1,0,0,1
542,Mike Smith,9,2003-2011,64,43,21,0,.672,22,2,2,0,2,.000,2.0,1,0,0,0
543,Bob Snyder,1,1947,12,6,6,0,.500,0,0,0,0,0,,4.0,4,0,0,0
544,Mike Solari,2,2006-2007,0,0,0,0,,0,0,0,0,0,,2.5,2,0,0,0
545,Steve Spagnuolo,5,2007-2011,48,10,38,0,.208,-28,0,0,0,0,,2.4,1,0,0,0
